chrom	strand	start	end	gid	gname	overlapped	species	assembly
JH584299.1	+	587624	625594	ENSMUSG00000094887	ENSMUSG00000094887	false	mouse	GRCm39
JH584299.1	+	716296	720517	ENSMUSG00000091585	ENSMUSG00000091585	false	mouse	GRCm39
JH584299.1	+	806210	809281	ENSMUSG00000095763	ENSMUSG00000095763	false	mouse	GRCm39
JH584299.1	+	837364	840451	ENSMUSG00000095523	ENSMUSG00000095523	false	mouse	GRCm39
JH584299.1	-	910289	913083	ENSMUSG00000095475	ENSMUSG00000095475	false	mouse	GRCm39
JH584299.1	+	921942	924675	ENSMUSG00000094855	ENSMUSG00000094855	false	mouse	GRCm39
JH584303.1	+	81607	82689	ENSMUSG00000095019	ENSMUSG00000095019	false	mouse	GRCm39
JH584304.1	-	52190	60328	ENSMUSG00000095041	ENSMUSG00000095041	false	mouse	GRCm39
chr1	-	3276124	3741721	ENSMUSG00000051951	Xkr4	false	mouse	GRCm39
chr1	+	3536810	3583776	ENSMUSG00000089699	Gm1992	false	mouse	GRCm39
chr1	-	3717532	3729127	ENSMUSG00000102331	Gm19938	false	mouse	GRCm39
chr1	-	3975962	4056438	ENSMUSG00000102343	Gm37381	false	mouse	GRCm39
chr1	-	4069780	4479464	ENSMUSG00000025900	Rp1	false	mouse	GRCm39
chr1	-	4561154	4567577	ENSMUSG00000025902	Sox17	false	mouse	GRCm39
chr1	+	4566774	4569781	ENSMUSG00000104238	Gm37587	false	mouse	GRCm39
chr1	-	4653352	4656475	ENSMUSG00000104328	Gm37323	false	mouse	GRCm39
chr1	-	4843429	4855962	ENSMUSG00000033845	Mrpl15	false	mouse	GRCm39
chr1	+	4855991	4857360	ENSMUSG00000120403	A930006A01Rik	false	mouse	GRCm39
chr1	+	4878011	4918633	ENSMUSG00000025903	Lypla1	false	mouse	GRCm39
chr1	+	4928002	4968132	ENSMUSG00000033813	Tcea1	false	mouse	GRCm39
chr1	-	4979799	5140508	ENSMUSG00000002459	Rgs20	false	mouse	GRCm39
chr1	+	5041080	5047043	ENSMUSG00000085623	Gm16041	false	mouse	GRCm39
chr1	+	5140241	5232752	ENSMUSG00000033793	Atp6v1h	false	mouse	GRCm39
chr1	+	5658689	5676354	ENSMUSG00000025905	Oprk1	false	mouse	GRCm39
chr1	-	5983926	5987617	ENSMUSG00000033774	Npbwr1	false	mouse	GRCm39
chr1	-	6234353	6285517	ENSMUSG00000090031	4732440D04Rik	false	mouse	GRCm39
chr1	+	6276421	6346872	ENSMUSG00000025907	Rb1cc1	false	mouse	GRCm39
chr1	+	6429442	6464955	ENSMUSG00000087247	Alkal1	false	mouse	GRCm39
chr1	+	6557455	6931164	ENSMUSG00000033740	St18	false	mouse	GRCm39
chr1	-	7158447	7159048	ENSMUSG00000120372	Gm57122	false	mouse	GRCm39
chr1	+	7159144	7243852	ENSMUSG00000051285	Pcmtd1	false	mouse	GRCm39
chr1	-	7419630	7468093	ENSMUSG00000097797	Gm26901	false	mouse	GRCm39
chr1	+	7568192	7588373	ENSMUSG00000103067	Gm30414	false	mouse	GRCm39
chr1	-	8431699	9370103	ENSMUSG00000025909	Sntg1	false	mouse	GRCm39
chr1	+	9615633	9617680	ENSMUSG00000061024	Rrs1	false	mouse	GRCm39
chr1	+	9618173	9650898	ENSMUSG00000025911	Adhfe1	false	mouse	GRCm39
chr1	-	9630705	9701406	ENSMUSG00000079671	2610203C22Rik	false	mouse	GRCm39
chr1	+	9671424	9697368	ENSMUSG00000067879	Vxn	false	mouse	GRCm39
chr1	-	9709480	9710807	ENSMUSG00000099827	Gm29520	false	mouse	GRCm39
chr1	-	9737640	9770434	ENSMUSG00000025912	Mybl1	false	mouse	GRCm39
chr1	-	9788847	9818607	ENSMUSG00000045210	Vcpip1	false	mouse	GRCm39
chr1	+	9817873	9862152	ENSMUSG00000097893	1700034P13Rik	false	mouse	GRCm39
chr1	+	9868332	9971070	ENSMUSG00000025915	Sgk3	false	mouse	GRCm39
chr1	-	9926809	10014398	ENSMUSG00000098234	Snhg6	false	mouse	GRCm39
chr1	+	9978863	10012310	ENSMUSG00000046101	Mcmdc2	false	mouse	GRCm39
chr1	-	10030388	10038157	ENSMUSG00000099032	Tcf24	false	mouse	GRCm39
chr1	-	10038849	10079361	ENSMUSG00000025916	Ppp1r42	false	mouse	GRCm39
chr1	+	10052612	10062591	ENSMUSG00000087199	Gm15818	false	mouse	GRCm39
chr1	-	10060094	10062168	ENSMUSG00000121270	Gm57177	false	mouse	GRCm39
chr1	-	10094826	10108400	ENSMUSG00000025917	Cops5	false	mouse	GRCm39
chr1	+	10108212	10206993	ENSMUSG00000056763	Cspp1	false	mouse	GRCm39
chr1	-	10207796	10302895	ENSMUSG00000067851	Arfgef1	false	mouse	GRCm39
chr1	-	10394945	10790170	ENSMUSG00000042501	Cpa6	false	mouse	GRCm39
chr1	+	11063689	11373905	ENSMUSG00000048960	Prex2	false	mouse	GRCm39
chr1	+	11484329	12046125	ENSMUSG00000057715	A830018L16Rik	false	mouse	GRCm39
chr1	+	12737787	12743314	ENSMUSG00000097171	Gm17644	false	mouse	GRCm39
chr1	-	12740548	12741400	ENSMUSG00000101314	Gm29663	false	mouse	GRCm39
chr1	+	12762501	12931416	ENSMUSG00000016918	Sulf1	false	mouse	GRCm39
chr1	-	12936773	13062874	ENSMUSG00000025938	Slco5a1	false	mouse	GRCm39
chr1	+	13139062	13148886	ENSMUSG00000099498	Gm29283	false	mouse	GRCm39
chr1	-	13183681	13197387	ENSMUSG00000042414	Prdm14	false	mouse	GRCm39
chr1	-	13209329	13444307	ENSMUSG00000005886	Ncoa2	false	mouse	GRCm39
chr1	+	13446294	13458637	ENSMUSG00000101476	Gm29570	false	mouse	GRCm39
chr1	-	13634922	13660134	ENSMUSG00000025935	Tram1	false	mouse	GRCm39
chr1	+	13663819	13667317	ENSMUSG00000120948	Gm57152	false	mouse	GRCm39
chr1	-	13693554	13730770	ENSMUSG00000025937	Lactb2	false	mouse	GRCm39
chr1	+	13738995	13771947	ENSMUSG00000067813	Xkr9	false	mouse	GRCm39
chr1	-	14239178	14380459	ENSMUSG00000025932	Eya1	false	mouse	GRCm39
chr1	+	14823161	14847155	ENSMUSG00000054493	Gm9947	false	mouse	GRCm39
chr1	-	14823570	14826216	ENSMUSG00000025930	Msc	false	mouse	GRCm39
chr1	-	14942872	14989086	ENSMUSG00000032769	Trpa1	false	mouse	GRCm39
chr1	+	15356879	15793974	ENSMUSG00000092083	Kcnb2	false	mouse	GRCm39
chr1	+	15875852	15914276	ENSMUSG00000025925	Terf1	false	mouse	GRCm39
chr1	-	15924086	15962946	ENSMUSG00000032719	Sbspon	false	mouse	GRCm39
chr1	-	16136203	16163549	ENSMUSG00000067795	4930444P10Rik	false	mouse	GRCm39
chr1	-	16171519	16174886	ENSMUSG00000043716	Rpl7	false	mouse	GRCm39
chr1	+	16175327	16203958	ENSMUSG00000025921	Rdh10	false	mouse	GRCm39
chr1	+	16298730	16314286	ENSMUSG00000100868	Gm28095	false	mouse	GRCm39
chr1	-	16298898	16590336	ENSMUSG00000025920	Stau2	false	mouse	GRCm39
chr1	+	16323816	16338145	ENSMUSG00000089982	Gm7568	false	mouse	GRCm39
chr1	-	16611014	16689713	ENSMUSG00000025939	Ube2w	false	mouse	GRCm39
chr1	-	16711949	16727266	ENSMUSG00000079658	Eloc	false	mouse	GRCm39
chr1	+	16727776	16732502	ENSMUSG00000097744	D030040B21Rik	false	mouse	GRCm39
chr1	+	16735431	16748499	ENSMUSG00000025940	Tmem70	false	mouse	GRCm39
chr1	+	16758275	16779835	ENSMUSG00000025779	Ly96	false	mouse	GRCm39
chr1	+	16968409	17161855	ENSMUSG00000101640	Gm28376	false	mouse	GRCm39
chr1	-	17034784	17168113	ENSMUSG00000042686	Jph1	false	mouse	GRCm39
chr1	+	17194971	17199180	ENSMUSG00000100110	Gm28783	false	mouse	GRCm39
chr1	+	17215569	17234495	ENSMUSG00000025777	Gdap1	false	mouse	GRCm39
chr1	+	17238627	17243327	ENSMUSG00000099899	Gm28784	false	mouse	GRCm39
chr1	+	17672125	17701163	ENSMUSG00000067780	Pi15	false	mouse	GRCm39
chr1	-	17685308	17711305	ENSMUSG00000100053	Gm28154	false	mouse	GRCm39
chr1	-	17746251	17797870	ENSMUSG00000085125	Gm16070	false	mouse	GRCm39
chr1	+	17797269	17836568	ENSMUSG00000025776	Crispld1	false	mouse	GRCm39
chr1	-	17812139	17875641	ENSMUSG00000099895	Gm28153	false	mouse	GRCm39
chr1	-	18064686	18129280	ENSMUSG00000109887	Gm28756	false	mouse	GRCm39
chr1	-	18185415	18216126	ENSMUSG00000025774	Crisp4	false	mouse	GRCm39
chr1	-	18306697	18307667	ENSMUSG00000073735	Defb18	false	mouse	GRCm39
chr1	-	18321204	18335362	ENSMUSG00000067773	Defb41	false	mouse	GRCm39
chr1	-	19133524	19175064	ENSMUSG00000089787	Gm15825	false	mouse	GRCm39
chr1	+	19173246	19236570	ENSMUSG00000042596	Tfap2d	false	mouse	GRCm39
chr1	+	19279138	19308800	ENSMUSG00000025927	Tfap2b	false	mouse	GRCm39
chr1	+	19312949	19313993	ENSMUSG00000100538	Gm28340	false	mouse	GRCm39
chr1	-	20128003	20688288	ENSMUSG00000043760	Pkhd1	false	mouse	GRCm39
chr1	+	20426676	20462524	ENSMUSG00000089914	4930486I03Rik	false	mouse	GRCm39
chr1	+	20740106	20754522	ENSMUSG00000099906	Lincmd1	false	mouse	GRCm39
chr1	+	20801129	20804720	ENSMUSG00000025929	Il17a	false	mouse	GRCm39
chr1	-	20847370	20860841	ENSMUSG00000041872	Il17f	false	mouse	GRCm39
chr1	-	20873192	20890536	ENSMUSG00000041859	Mcm3	false	mouse	GRCm39
chr1	+	20906885	20909913	ENSMUSG00000102121	Gm28065	false	mouse	GRCm39
chr1	-	20958874	20960697	ENSMUSG00000097934	6720483E21Rik	false	mouse	GRCm39
chr1	+	20960800	21009874	ENSMUSG00000025931	Paqr8	false	mouse	GRCm39
chr1	+	21021850	21061065	ENSMUSG00000041809	Efhc1	false	mouse	GRCm39
chr1	-	21066523	21149453	ENSMUSG00000041779	Tram2	false	mouse	GRCm39
chr1	+	21150338	21151972	ENSMUSG00000099971	Gm28287	false	mouse	GRCm39
chr1	+	21288799	21300391	ENSMUSG00000025933	Tmem14a	false	mouse	GRCm39
chr1	+	21310813	21335885	ENSMUSG00000025934	Gsta3	false	mouse	GRCm39
chr1	-	21320583	21341817	ENSMUSG00000099343	Gm28836	false	mouse	GRCm39
chr1	-	21355457	21395963	ENSMUSG00000121505	Gm4956	false	mouse	GRCm39
chr1	+	21419865	21422424	ENSMUSG00000067750	Khdc1a	false	mouse	GRCm39
chr1	+	21438555	21441069	ENSMUSG00000041722	Khdc1c	false	mouse	GRCm39
chr1	+	21453780	21456597	ENSMUSG00000085079	Khdc1b	false	mouse	GRCm39
chr1	-	21468627	22032166	ENSMUSG00000028033	Kcnq5	false	mouse	GRCm39
chr1	-	22356475	22845203	ENSMUSG00000041670	Rims1	false	mouse	GRCm39
chr1	-	23087376	23274754	ENSMUSG00000101227	Gm29506	false	mouse	GRCm39
chr1	-	23139554	23141334	ENSMUSG00000073730	Ppp1r14bl	false	mouse	GRCm39
chr1	+	23330618	23331016	ENSMUSG00000097970	Gm27028	false	mouse	GRCm39
chr1	+	23332810	23333156	ENSMUSG00000100775	Gm29107	false	mouse	GRCm39
chr1	-	23405505	23436853	ENSMUSG00000026158	Ogfrl1	false	mouse	GRCm39
chr1	+	23613424	23636053	ENSMUSG00000099503	Gm28822	false	mouse	GRCm39
chr1	+	23800834	23888239	ENSMUSG00000026156	B3gat2	false	mouse	GRCm39
chr1	-	23883927	23961502	ENSMUSG00000026155	Smap1	false	mouse	GRCm39
chr1	-	24035020	24044737	ENSMUSG00000026154	Sdhaf4	false	mouse	GRCm39
chr1	-	24050174	24139422	ENSMUSG00000026153	Fam135a	false	mouse	GRCm39
chr1	+	24216691	24291765	ENSMUSG00000026147	Col9a1	false	mouse	GRCm39
chr1	-	24300971	24626553	ENSMUSG00000026141	Col19a1	false	mouse	GRCm39
chr1	+	24717616	24805382	ENSMUSG00000073725	Lmbrd1	false	mouse	GRCm39
chr1	-	25002290	25004239	ENSMUSG00000100483	Gm28237	false	mouse	GRCm39
chr1	-	25065662	25066313	ENSMUSG00000099392	Gm29414	false	mouse	GRCm39
chr1	-	25106557	25868788	ENSMUSG00000033569	Adgrb3	false	mouse	GRCm39
chr1	-	26720895	26726541	ENSMUSG00000073722	4931408C20Rik	false	mouse	GRCm39
chr1	+	27923059	27941903	ENSMUSG00000101514	Gm5524	false	mouse	GRCm39
chr1	-	28815198	28819333	ENSMUSG00000048411	Gm597	false	mouse	GRCm39
chr1	-	30757641	30759043	ENSMUSG00000053185	Gm9898	false	mouse	GRCm39
chr1	-	30841420	30913002	ENSMUSG00000048874	Phf3	false	mouse	GRCm39
chr1	-	30979383	30988390	ENSMUSG00000026064	Ptp4a1	false	mouse	GRCm39
chr1	-	30979383	30988851	ENSMUSG00000117310	Ptp4a1	false	mouse	GRCm39
chr1	-	31016324	31017049	ENSMUSG00000117091	Gm5698	false	mouse	GRCm39
chr1	-	31036933	31261765	ENSMUSG00000086727	4931428L18Rik	false	mouse	GRCm39
chr1	+	31081000	31082756	ENSMUSG00000100237	Gm28644	false	mouse	GRCm39
chr1	+	31175107	31189186	ENSMUSG00000100910	Gm29128	false	mouse	GRCm39
chr1	+	31215482	31243806	ENSMUSG00000050217	Lgsn	false	mouse	GRCm39
chr1	+	31261919	31263369	ENSMUSG00000026063	Dnaaf6	false	mouse	GRCm39
chr1	+	31326026	31326787	ENSMUSG00000094215	Gm6489	false	mouse	GRCm39
chr1	+	32211795	32697649	ENSMUSG00000026058	Khdrbs2	false	mouse	GRCm39
chr1	-	32582767	32586375	ENSMUSG00000091318	Semp2l1	false	mouse	GRCm39
chr1	+	33104211	33105431	ENSMUSG00000102917	Gm37724	false	mouse	GRCm39
chr1	-	33251855	33254556	ENSMUSG00000104230	Gm37591	false	mouse	GRCm39
chr1	-	33492891	33708876	ENSMUSG00000026134	Prim2	false	mouse	GRCm39
chr1	-	33758492	33759167	ENSMUSG00000121274	Gm57180	false	mouse	GRCm39
chr1	+	33758959	33781645	ENSMUSG00000004768	Rab23	false	mouse	GRCm39
chr1	-	33784565	33796876	ENSMUSG00000042215	Bag2	false	mouse	GRCm39
chr1	-	33800626	33853676	ENSMUSG00000042197	Zfp451	false	mouse	GRCm39
chr1	-	33891133	33946897	ENSMUSG00000042182	Bend6	false	mouse	GRCm39
chr1	+	33947167	34347742	ENSMUSG00000026131	Dst	false	mouse	GRCm39
chr1	-	34204937	34217527	ENSMUSG00000096992	Gm26788	false	mouse	GRCm39
chr1	-	34368514	34369388	ENSMUSG00000104397	Gm37958	false	mouse	GRCm39
chr1	-	34466083	34472421	ENSMUSG00000102336	Gm37233	false	mouse	GRCm39
chr1	-	34475751	34478753	ENSMUSG00000042111	Ccdc115	false	mouse	GRCm39
chr1	-	34478592	34483811	ENSMUSG00000101711	Gm28306	false	mouse	GRCm39
chr1	+	34478932	34488437	ENSMUSG00000026127	Imp4	false	mouse	GRCm39
chr1	+	34498843	34514814	ENSMUSG00000026126	Ptpn18	false	mouse	GRCm39
chr1	-	34507915	34512275	ENSMUSG00000100280	Gm28417	false	mouse	GRCm39
chr1	-	34516248	34525072	ENSMUSG00000101223	4930568A12Rik	false	mouse	GRCm39
chr1	+	34537491	34542144	ENSMUSG00000026125	Prss39	false	mouse	GRCm39
chr1	+	34574729	34583394	ENSMUSG00000026124	Cfc1	false	mouse	GRCm39
chr1	-	34583049	34600024	ENSMUSG00000037529	Prss40	false	mouse	GRCm39
chr1	-	34618283	34618792	ENSMUSG00000045815	1700101I19Rik	false	mouse	GRCm39
chr1	+	34618738	34630025	ENSMUSG00000045174	Amer3	false	mouse	GRCm39
chr1	+	34717269	34852390	ENSMUSG00000037509	Arhgef4	false	mouse	GRCm39
chr1	+	34840875	34841045	ENSMUSG00000118272	Gm55978	false	mouse	GRCm39
chr1	-	34848441	34850989	ENSMUSG00000104002	Gm38336	false	mouse	GRCm39
chr1	-	34852300	34882146	ENSMUSG00000037503	Fam168b	false	mouse	GRCm39
chr1	+	34889057	34918661	ENSMUSG00000026123	Plekhb2	false	mouse	GRCm39
chr1	-	35664687	35690378	ENSMUSG00000104417	Gm37068	false	mouse	GRCm39
chr1	+	35846055	35849543	ENSMUSG00000101714	Gm28415	false	mouse	GRCm39
chr1	+	35918926	35920200	ENSMUSG00000102531	1110002O04Rik	false	mouse	GRCm39
chr1	-	36021041	36025454	ENSMUSG00000102279	Gm37146	false	mouse	GRCm39
chr1	-	36042065	36050125	ENSMUSG00000103708	Gm33222	false	mouse	GRCm39
chr1	+	36050153	36050975	ENSMUSG00000104201	4930535G08Rik	false	mouse	GRCm39
chr1	+	36107481	36145527	ENSMUSG00000045216	Hs6st1	false	mouse	GRCm39
chr1	-	36144465	36145527	ENSMUSG00000104523	Gm37335	false	mouse	GRCm39
chr1	+	36171099	36177827	ENSMUSG00000102202	Gm33280	false	mouse	GRCm39
chr1	-	36179108	36283801	ENSMUSG00000037470	Uggt1	false	mouse	GRCm39
chr1	-	36303678	36313760	ENSMUSG00000047180	Neurl3	false	mouse	GRCm39
chr1	+	36346814	36363110	ENSMUSG00000037447	Arid5a	false	mouse	GRCm39
chr1	+	36371789	36372501	ENSMUSG00000102762	4930403P22Rik	false	mouse	GRCm39
chr1	-	36374811	36408262	ENSMUSG00000010453	Kansl3	false	mouse	GRCm39
chr1	+	36411372	36461191	ENSMUSG00000037432	Fer1l5	false	mouse	GRCm39
chr1	-	36458952	36484352	ENSMUSG00000001143	Lman2l	false	mouse	GRCm39
chr1	+	36510701	36547845	ENSMUSG00000037408	Cnnm4	false	mouse	GRCm39
chr1	+	36550948	36567318	ENSMUSG00000001138	Cnnm3	false	mouse	GRCm39
chr1	-	36566615	36567318	ENSMUSG00000102845	Gm38033	false	mouse	GRCm39
chr1	-	36569269	36575964	ENSMUSG00000067653	Ankrd23	false	mouse	GRCm39
chr1	-	36576588	36586526	ENSMUSG00000079610	Ankrd39	false	mouse	GRCm39
chr1	-	36587720	36597430	ENSMUSG00000026121	Sema4c	false	mouse	GRCm39
chr1	+	36596782	36604694	ENSMUSG00000087589	D430040D24Rik	false	mouse	GRCm39
chr1	-	36601773	36722264	ENSMUSG00000046337	Fam178b	false	mouse	GRCm39
chr1	+	36730530	36732762	ENSMUSG00000061518	Cox5b	false	mouse	GRCm39
chr1	-	36737195	36753503	ENSMUSG00000037351	Actr1b	false	mouse	GRCm39
chr1	+	36749230	36797034	ENSMUSG00000102416	4933424G06Rik	false	mouse	GRCm39
chr1	-	36778129	36783873	ENSMUSG00000104237	Gm33533	false	mouse	GRCm39
chr1	+	36800879	36821899	ENSMUSG00000026117	Zap70	false	mouse	GRCm39
chr1	-	36831272	36982747	ENSMUSG00000026116	Tmem131	false	mouse	GRCm39
chr1	-	36952682	36955620	ENSMUSG00000102930	Gm38115	false	mouse	GRCm39
chr1	+	37065677	37226694	ENSMUSG00000050122	Vwa3b	false	mouse	GRCm39
chr1	-	37171354	37172345	ENSMUSG00000103603	Gm37020	false	mouse	GRCm39
chr1	+	37253515	37302465	ENSMUSG00000026114	Cnga3	false	mouse	GRCm39
chr1	+	37338946	37449817	ENSMUSG00000026113	Inpp4a	false	mouse	GRCm39
chr1	-	37368748	37373253	ENSMUSG00000086064	4930439A04Rik	false	mouse	GRCm39
chr1	-	37456165	37469184	ENSMUSG00000026112	Coa5	false	mouse	GRCm39
chr1	+	37469220	37478205	ENSMUSG00000026111	Unc50	false	mouse	GRCm39
chr1	-	37478421	37580097	ENSMUSG00000026110	Mgat4a	false	mouse	GRCm39
chr1	-	37650758	37759166	ENSMUSG00000026090	Cracdl	false	mouse	GRCm39
chr1	+	37653340	37654453	ENSMUSG00000089767	4930556I23Rik	false	mouse	GRCm39
chr1	-	37793857	37905510	ENSMUSG00000060771	Tsga10	false	mouse	GRCm39
chr1	+	37904380	37910469	ENSMUSG00000097268	Gm26805	false	mouse	GRCm39
chr1	+	37910819	37915309	ENSMUSG00000037216	Lipt1	false	mouse	GRCm39
chr1	-	37913882	37929492	ENSMUSG00000026088	Mitd1	false	mouse	GRCm39
chr1	+	37929558	37937616	ENSMUSG00000026087	Mrpl30	false	mouse	GRCm39
chr1	-	37945004	37955574	ENSMUSG00000061584	Lyg2	false	mouse	GRCm39
chr1	+	37972677	37993217	ENSMUSG00000087374	Gm15457	false	mouse	GRCm39
chr1	-	37985817	37996840	ENSMUSG00000026085	Lyg1	false	mouse	GRCm39
chr1	-	38024270	38036974	ENSMUSG00000058407	Txndc9	false	mouse	GRCm39
chr1	+	38037091	38094660	ENSMUSG00000026083	Eif5b	false	mouse	GRCm39
chr1	-	38091867	38168882	ENSMUSG00000026082	Rev1	false	mouse	GRCm39
chr1	-	38115376	38116386	ENSMUSG00000103804	Gm37062	false	mouse	GRCm39
chr1	+	38171164	38198973	ENSMUSG00000102716	Gm5099	false	mouse	GRCm39
chr1	-	38216407	38704036	ENSMUSG00000037138	Aff3	false	mouse	GRCm39
chr1	+	38274501	38285747	ENSMUSG00000085391	Gm16150	false	mouse	GRCm39
chr1	+	38346983	38351011	ENSMUSG00000085280	Gm16151	false	mouse	GRCm39
chr1	+	38424030	38433055	ENSMUSG00000087131	Gm16152	false	mouse	GRCm39
chr1	-	38832726	38875792	ENSMUSG00000048814	Lonrf2	false	mouse	GRCm39
chr1	-	38902948	38937242	ENSMUSG00000026080	Chst10	false	mouse	GRCm39
chr1	+	38923835	38927153	ENSMUSG00000103647	Gm37707	false	mouse	GRCm39
chr1	+	38978230	38989357	ENSMUSG00000067604	Nms	false	mouse	GRCm39
chr1	+	39024689	39036319	ENSMUSG00000026078	Pdcl3	false	mouse	GRCm39
chr1	-	39087729	39096718	ENSMUSG00000104188	Gm37821	false	mouse	GRCm39
chr1	+	39232812	39402317	ENSMUSG00000026077	Npas2	false	mouse	GRCm39
chr1	+	39406923	39410992	ENSMUSG00000073702	Rpl31	false	mouse	GRCm39
chr1	-	39410573	39517836	ENSMUSG00000003134	Tbc1d8	false	mouse	GRCm39
chr1	+	39574073	39585970	ENSMUSG00000003135	Cnot11	false	mouse	GRCm39
chr1	-	39586651	39591083	ENSMUSG00000085894	Gm15832	false	mouse	GRCm39
chr1	-	39590377	39616491	ENSMUSG00000048234	Rnf149	false	mouse	GRCm39
chr1	-	39657574	39690642	ENSMUSG00000050967	Creg2	false	mouse	GRCm39
chr1	+	39689344	39696550	ENSMUSG00000097083	D930019O06Rik	false	mouse	GRCm39
chr1	-	39704461	39760157	ENSMUSG00000057173	Rfx8	false	mouse	GRCm39
chr1	-	39843308	39844492	ENSMUSG00000091937	Gm3646	false	mouse	GRCm39
chr1	-	39878335	39886494	ENSMUSG00000101634	1700066B17Rik	false	mouse	GRCm39
chr1	+	39939330	40065470	ENSMUSG00000026074	Map4k4	false	mouse	GRCm39
chr1	+	40113239	40164391	ENSMUSG00000026073	Il1r2	false	mouse	GRCm39
chr1	-	40115388	40125011	ENSMUSG00000097899	Gm16894	false	mouse	GRCm39
chr1	+	40264240	40356417	ENSMUSG00000026072	Il1r1	false	mouse	GRCm39
chr1	+	40363770	40406722	ENSMUSG00000070942	Il1rl2	false	mouse	GRCm39
