srr	gse	species	platform	isoquant_cells	registry_positive_reference_transcripts	transcript_rows_enumerated	observed_run_transcript_detections	registry_recount_delta	registry_recount_match	observed_reference_transcript_detections	observed_isoquant_novel_transcript_detections	observed_other_transcript_detections	transcript_assigned_molecules	transcript_duplicate_headers_skipped	discovered_transcript_rows_enumerated	observed_discovered_run_transcript_detections	observed_discovered_reference_transcript_detections	observed_discovered_isoquant_novel_transcript_detections	observed_discovered_other_transcript_detections	discovered_transcript_assigned_molecules	discovered_duplicate_headers_skipped	gene_rows_enumerated	observed_run_gene_detections	gene_assigned_molecules	gene_duplicate_headers_skipped	transcript_counts_path	discovered_transcript_counts_path	gene_counts_path
SRR12699085	GSE158450	mouse	PacBio	3146	26624	125556	26624	0	True	26624	0	0	2151742.0	0	96129	95835	20486	75349	0	2699510.0	0	33696	15742	3450923.0	0	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699085/SRR12699085.gene_counts.tsv
SRR12699086	GSE158450	mouse	PacBio	2474	22505	125556	22505	0	True	22505	0	0	2321608.0	0	97405	97000	18776	78224	0	2738332.0	0	33696	15970	3641868.0	0	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE158450/SRR12699086/SRR12699086.gene_counts.tsv
SRR14808726	GSE178175	human	PacBio	5135	4916	226005	4916	0	True	4916	0	0	12704.0	0	17163	17106	4650	12456	0	48962.0	0	38606	10654	63410.0	0	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808726/SRR14808726/SRR14808726.gene_counts.tsv
SRR14808727	GSE178175	human	PacBio	5224	6786	226005	6786	0	True	6786	0	0	24000.0	0	30047	29963	6203	23760	0	98805.0	0	38606	12381	115358.0	0	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808727/SRR14808727/SRR14808727.gene_counts.tsv
SRR14808728	GSE178175	human	PacBio	7739	16116	226005	16116	0	True	16116	0	0	97258.0	0	45583	45434	13061	32373	0	250350.0	0	38606	12268	328577.0	0	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808728/SRR14808728/SRR14808728.gene_counts.tsv
SRR14808729	GSE178175	human	PacBio	7738	19118	226005	19118	0	True	19118	0	0	143286.0	0	59185	59049	14519	44530	0	370656.0	0	38606	13256	484027.0	0	data/isoquant/GSE178175/SRR14808729/SRR14808729/SRR14808729.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808729/SRR14808729/SRR14808729.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808729/SRR14808729/SRR14808729.gene_counts.tsv
SRR14808730	GSE178175	human	PacBio	7658	18013	226005	18013	0	True	18013	0	0	124291.0	0	54496	54364	13970	40394	0	327080.0	0	38606	12899	421163.0	0	data/isoquant/GSE178175/SRR14808730/SRR14808730/SRR14808730.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808730/SRR14808730/SRR14808730.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808730/SRR14808730/SRR14808730.gene_counts.tsv
SRR14808732	GSE178175	human	PacBio	7745	17763	226005	17763	0	True	17763	0	0	120454.0	0	52622	52471	13929	38542	0	312794.0	0	38606	12843	406682.0	0	data/isoquant/GSE178175/SRR14808732/SRR14808732/SRR14808732.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808732/SRR14808732/SRR14808732.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808732/SRR14808732/SRR14808732.gene_counts.tsv
SRR14808733	GSE178175	human	PacBio	7692	17390	226005	17390	0	True	17390	0	0	113652.0	0	50827	50681	13608	37073	0	294973.0	0	38606	12725	385049.0	0	data/isoquant/GSE178175/SRR14808733/SRR14808733/SRR14808733.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808733/SRR14808733/SRR14808733.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808733/SRR14808733/SRR14808733.gene_counts.tsv
SRR14808735	GSE178175	human	PacBio	7639	16457	226005	16457	0	True	16457	0	0	99882.0	0	45553	45419	13148	32271	0	252963.0	0	38606	12275	330714.0	0	data/isoquant/GSE178175/SRR14808735/SRR14808735/SRR14808735.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808735/SRR14808735/SRR14808735.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808735/SRR14808735/SRR14808735.gene_counts.tsv
SRR14808736	GSE178175	human	PacBio	5851	9020	226005	9020	0	True	9020	0	0	34436.0	0	18688	18587	8757	9830	0	74846.0	0	38606	9118	106365.0	0	data/isoquant/GSE178175/SRR14808736/SRR14808736/SRR14808736.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808736/SRR14808736/SRR14808736.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808736/SRR14808736/SRR14808736.gene_counts.tsv
SRR14808737	GSE178175	human	PacBio	3881	4260	226005	4260	0	True	4260	0	0	9342.0	0	7439	7352	5077	2275	0	19686.0	0	38606	5618	27657.0	0	data/isoquant/GSE178175/SRR14808737/SRR14808737/SRR14808737.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808737/SRR14808737/SRR14808737.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808737/SRR14808737/SRR14808737.gene_counts.tsv
SRR14808738	GSE178175	human	PacBio	4719	6213	226005	6213	0	True	6213	0	0	17487.0	0	11667	11566	6712	4854	0	37455.0	0	38606	7208	53260.0	0	data/isoquant/GSE178175/SRR14808738/SRR14808738/SRR14808738.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808738/SRR14808738/SRR14808738.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808738/SRR14808738/SRR14808738.gene_counts.tsv
SRR14808739	GSE178175	human	PacBio	4243	5050	226005	5050	0	True	5050	0	0	12476.0	0	9129	9064	5826	3238	0	26595.0	0	38606	6412	37794.0	0	data/isoquant/GSE178175/SRR14808739/SRR14808739/SRR14808739.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808739/SRR14808739/SRR14808739.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808739/SRR14808739/SRR14808739.gene_counts.tsv
SRR14808740	GSE178175	human	PacBio	6239	11334	226005	11334	0	True	11334	0	0	52859.0	0	25344	25212	10309	14903	0	118575.0	0	38606	10279	165222.0	0	data/isoquant/GSE178175/SRR14808740/SRR14808740/SRR14808740.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808740/SRR14808740/SRR14808740.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808740/SRR14808740/SRR14808740.gene_counts.tsv
SRR14808741	GSE178175	human	PacBio	4078	4953	226005	4953	0	True	4953	0	0	11743.0	0	8710	8626	5623	3003	0	24526.0	0	38606	6254	35324.0	0	data/isoquant/GSE178175/SRR14808741/SRR14808741/SRR14808741.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808741/SRR14808741/SRR14808741.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808741/SRR14808741/SRR14808741.gene_counts.tsv
SRR14808743	GSE178175	human	ONT	7770	39616	226005	39616	0	True	39616	0	0	689629.0	0	55190	55096	21500	33596	0	1250384.0	0	38606	17368	2321882.0	0	data/isoquant/GSE178175/SRR14808743/SRR14808743/SRR14808743.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808743/SRR14808743/SRR14808743.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808743/SRR14808743/SRR14808743.gene_counts.tsv
SRR14808744	GSE178175	human	ONT	678	673	226005	673	0	True	673	0	0	763.0	0	1047	1024	887	137	0	1456.0	0	38606	1395	2265.0	0	data/isoquant/GSE178175/SRR14808744/SRR14808744/SRR14808744.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808744/SRR14808744/SRR14808744.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808744/SRR14808744/SRR14808744.gene_counts.tsv
SRR14808745	GSE178175	human	ONT	7879	57758	226005	57758	0	True	57758	0	0	2552704.0	0	82349	82262	28336	53926	0	4561213.0	0	38606	19885	8181921.0	0	data/isoquant/GSE178175/SRR14808745/SRR14808745/SRR14808745.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808745/SRR14808745/SRR14808745.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808745/SRR14808745/SRR14808745.gene_counts.tsv
SRR14808746	GSE178175	human	ONT	7050	52084	226005	52084	0	True	52084	0	0	1769124.0	0	59578	59470	26381	33089	0	2921087.0	0	38606	19021	5666287.0	0	data/isoquant/GSE178175/SRR14808746/SRR14808746/SRR14808746.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808746/SRR14808746/SRR14808746.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808746/SRR14808746/SRR14808746.gene_counts.tsv
SRR14808747	GSE178175	human	ONT	1153	1181	226005	1181	0	True	1181	0	0	1509.0	0	1849	1816	1488	328	0	2974.0	0	38606	2305	4754.0	0	data/isoquant/GSE178175/SRR14808747/SRR14808747/SRR14808747.transcript_counts.tsv	data/isoquant/GSE178175/SRR14808747/SRR14808747/SRR14808747.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR14808747/SRR14808747/SRR14808747.gene_counts.tsv
SRR17074937	GSE178175	human	PacBio	6016	7227	226005	7227	0	True	7227	0	0	24049.0	0	49500	49425	7033	42392	0	156895.0	0	38606	12117	120212.0	0	data/isoquant/GSE178175/SRR17074937/SRR17074937/SRR17074937.transcript_counts.tsv	data/isoquant/GSE178175/SRR17074937/SRR17074937/SRR17074937.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR17074937/SRR17074937/SRR17074937.gene_counts.tsv
SRR17074938	GSE178175	mouse	ONT	5117	20565	125556	20565	0	True	20565	0	0	667090.0	0	17999	17909	15380	2529	0	684155.0	0	33696	15404	1061723.0	0	data/isoquant/GSE178175/SRR17074938/SRR17074938/SRR17074938.transcript_counts.tsv	data/isoquant/GSE178175/SRR17074938/SRR17074938/SRR17074938.discovered_transcript_counts.tsv	data/isoquant/GSE178175/SRR17074938/SRR17074938/SRR17074938.gene_counts.tsv
SRR21492154	GSE212945	human	ONT	6603	51834	226005	51834	0	True	51834	0	0	8694044.0	0	85414	85299	30554	54745	0	10088857.0	0	38606	22690	17212039.0	0	data/isoquant/GSE212945/SRR21492154/SRR21492154/SRR21492154.transcript_counts.tsv	data/isoquant/GSE212945/SRR21492154/SRR21492154/SRR21492154.discovered_transcript_counts.tsv	data/isoquant/GSE212945/SRR21492154/SRR21492154/SRR21492154.gene_counts.tsv
SRR21492155	GSE212945	human	ONT	8429	52177	226005	52177	0	True	52177	0	0	5273124.0	0	58532	58396	31598	26798	0	5839388.0	0	38606	21993	11349720.0	0	data/isoquant/GSE212945/SRR21492155/SRR21492155/SRR21492155.transcript_counts.tsv	data/isoquant/GSE212945/SRR21492155/SRR21492155/SRR21492155.discovered_transcript_counts.tsv	data/isoquant/GSE212945/SRR21492155/SRR21492155/SRR21492155.gene_counts.tsv
SRR21492156	GSE212945	human	ONT	3690	50813	226005	50813	0	True	50813	0	0	4707327.0	0	142442	142276	29037	113239	0	8191074.0	0	38606	23256	12340300.0	0	data/isoquant/GSE212945/SRR21492156/SRR21492156/SRR21492156.transcript_counts.tsv	data/isoquant/GSE212945/SRR21492156/SRR21492156/SRR21492156.discovered_transcript_counts.tsv	data/isoquant/GSE212945/SRR21492156/SRR21492156/SRR21492156.gene_counts.tsv
SRR21492157	GSE212945	human	ONT	3587	41320	226005	41320	0	True	41320	0	0	1991492.0	0	72201	72005	26075	45930	0	2950406.0	0	38606	21794	4981359.0	0	data/isoquant/GSE212945/SRR21492157/SRR21492157/SRR21492157.transcript_counts.tsv	data/isoquant/GSE212945/SRR21492157/SRR21492157/SRR21492157.discovered_transcript_counts.tsv	data/isoquant/GSE212945/SRR21492157/SRR21492157/SRR21492157.gene_counts.tsv
SRR34318914	GSE212945	human	ONT	3672	49600	226005	49600	0	True	49600	0	0	5506535.0	0	53674	53487	31392	22095	0	6002324.0	0	38606	20646	12362288.0	0	data/isoquant/GSE212945/SRR34318914/SRR34318914/SRR34318914.transcript_counts.tsv	data/isoquant/GSE212945/SRR34318914/SRR34318914/SRR34318914.discovered_transcript_counts.tsv	data/isoquant/GSE212945/SRR34318914/SRR34318914/SRR34318914.gene_counts.tsv
SRR34318915	GSE212945	human	ONT	4059	28873	226005	28873	0	True	28873	0	0	1581386.0	0	26102	25945	19243	6702	0	1708973.0	0	38606	17292	3394926.0	0	data/isoquant/GSE212945/SRR34318915/SRR34318915/SRR34318915.transcript_counts.tsv	data/isoquant/GSE212945/SRR34318915/SRR34318915/SRR34318915.discovered_transcript_counts.tsv	data/isoquant/GSE212945/SRR34318915/SRR34318915/SRR34318915.gene_counts.tsv
SRR21714350	GSE214231	human	PacBio	0	868	226005	868	0	True	868	0	0	92108.0	0	4039	4032	834	3198	0	261874.0	0	38606	1778	399968.0	0	data/isoquant_pacbio/GSE214231/SRR21714350/SRR21714350.transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714350/SRR21714350.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714350/SRR21714350.gene_counts.tsv
SRR21714351	GSE214231	human	PacBio	0	810	226005	810	0	True	810	0	0	63342.0	0	3467	3457	794	2663	0	279397.0	0	38606	1679	324204.0	0	data/isoquant_pacbio/GSE214231/SRR21714351/SRR21714351.transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714351/SRR21714351.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714351/SRR21714351.gene_counts.tsv
SRR21714352	GSE214231	human	PacBio	0	631	226005	631	0	True	631	0	0	40274.0	0	2735	2726	601	2125	0	179388.0	0	38606	1367	201067.0	0	data/isoquant_pacbio/GSE214231/SRR21714352/SRR21714352.transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714352/SRR21714352.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714352/SRR21714352.gene_counts.tsv
SRR21714353	GSE214231	human	PacBio	0	2391	226005	2391	0	True	2391	0	0	41488.0	0	7518	7472	2652	4820	0	178603.0	0	38606	3753	195443.0	0	data/isoquant_pacbio/GSE214231/SRR21714353/SRR21714353.transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714353/SRR21714353.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714353/SRR21714353.gene_counts.tsv
SRR21714354	GSE214231	human	PacBio	0	286	226005	286	0	True	286	0	0	6689.0	0	883	881	345	536	0	72985.0	0	38606	557	71988.0	0	data/isoquant_pacbio/GSE214231/SRR21714354/SRR21714354.transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714354/SRR21714354.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714354/SRR21714354.gene_counts.tsv
SRR21714355	GSE214231	human	PacBio	0	584	226005	584	0	True	584	0	0	10912.0	0	1716	1698	601	1097	0	106712.0	0	38606	1024	109006.0	0	data/isoquant_pacbio/GSE214231/SRR21714355/SRR21714355.transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714355/SRR21714355.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE214231/SRR21714355/SRR21714355.gene_counts.tsv
SRR23271781	GSE224045	human	ONT	8756	54954	226005	54954	0	True	54954	0	0	13753814.0	0	91089	90907	34748	56159	0	14830573.0	0	38606	20578	26465265.0	0	data/isoquant/GSE224045/SRR23271781/SRR23271781/SRR23271781.transcript_counts.tsv	data/isoquant/GSE224045/SRR23271781/SRR23271781/SRR23271781.discovered_transcript_counts.tsv	data/isoquant/GSE224045/SRR23271781/SRR23271781/SRR23271781.gene_counts.tsv
SRR26865982	GSE248118	human	ONT	2331	63178	226005	63178	0	True	63178	0	0	17090300.0	0	65261	65113	40000	25113	0	17295176.0	0	38606	22920	32074111.0	0	data/isoquant/GSE248118/SRR26865982/SRR26865982/SRR26865982.transcript_counts.tsv	data/isoquant/GSE248118/SRR26865982/SRR26865982/SRR26865982.discovered_transcript_counts.tsv	data/isoquant/GSE248118/SRR26865982/SRR26865982/SRR26865982.gene_counts.tsv
SRR27237241	GSE250381	mouse	PacBio	17	10409	125556	10409	0	True	10409	0	0	1317926.0	0	19357	19311	6952	12359	0	1385858.0	0	33696	9044	2342813.0	0	data/isoquant_pacbio/GSE250381/SRR27237241/SRR27237241.transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237241/SRR27237241.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237241/SRR27237241.gene_counts.tsv
SRR27237242	GSE250381	mouse	PacBio	88	18948	125556	18948	0	True	18948	0	0	1428844.0	0	37720	37633	13425	24208	0	1539024.0	0	33696	13048	2506205.0	0	data/isoquant_pacbio/GSE250381/SRR27237242/SRR27237242.transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237242/SRR27237242.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237242/SRR27237242.gene_counts.tsv
SRR27237243	GSE250381	mouse	PacBio	87	17218	125556	17218	0	True	17218	0	0	1559832.0	0	38035	37952	12534	25418	0	1663960.0	0	33696	12702	2791477.0	0	data/isoquant_pacbio/GSE250381/SRR27237243/SRR27237243.transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237243/SRR27237243.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237243/SRR27237243.gene_counts.tsv
SRR27237244	GSE250381	mouse	PacBio	51	16764	125556	16764	0	True	16764	0	0	1371255.0	0	34486	34403	12385	22018	0	1490230.0	0	33696	12452	2398142.0	0	data/isoquant_pacbio/GSE250381/SRR27237244/SRR27237244.transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237244/SRR27237244.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE250381/SRR27237244/SRR27237244.gene_counts.tsv
SRR27405402	GSE252344	human	PacBio	45	15624	226005	15624	0	True	15624	0	0	389915.0	0	8646	8640	6070	2570	0	450724.0	0	38606	10779	791173.0	0	data/isoquant_pacbio/GSE252344/SRR27405402/SRR27405402.transcript_counts.tsv	data/isoquant_pacbio/GSE252344/SRR27405402/SRR27405402.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE252344/SRR27405402/SRR27405402.gene_counts.tsv
SRR27406895	GSE252416	human	PacBio	0	7929	226005	7929	0	True	7929	0	0	142171.0	0	4703	4700	3789	911	0	82743.0	0	38606	7888	239302.0	0	data/isoquant_pacbio/GSE252416/SRR27406895/SRR27406895.transcript_counts.tsv	data/isoquant_pacbio/GSE252416/SRR27406895/SRR27406895.discovered_transcript_counts.tsv	data/isoquant_pacbio/GSE252416/SRR27406895/SRR27406895.gene_counts.tsv
SRR27935476	GSE255520	mouse	ONT	2396	21414	125556	21414	0	True	21414	0	0	924642.0	0	25817	25733	15906	9827	0	1064001.0	0	33696	15539	1695281.0	0	data/isoquant/GSE255520/Ms_Retina/Ms_Retina/Ms_Retina.transcript_counts.tsv	data/isoquant/GSE255520/Ms_Retina/Ms_Retina/Ms_Retina.discovered_transcript_counts.tsv	data/isoquant/GSE255520/Ms_Retina/Ms_Retina/Ms_Retina.gene_counts.tsv
SRR27935477	GSE255520	mouse	ONT	6398	22581	125556	22581	0	True	22581	0	0	2432531.0	0	33292	33161	18195	14966	0	2638405.0	0	33696	15117	3967092.0	0	data/isoquant/GSE255520/Ms_RGC/Ms_RGC/Ms_RGC.transcript_counts.tsv	data/isoquant/GSE255520/Ms_RGC/Ms_RGC/Ms_RGC.discovered_transcript_counts.tsv	data/isoquant/GSE255520/Ms_RGC/Ms_RGC/Ms_RGC.gene_counts.tsv
SRR27935479	GSE255520	mouse	ONT	2895	20017	125556	20017	0	True	20017	0	0	1573535.0	0	37875	37750	16117	21633	0	1887752.0	0	33696	14256	2923645.0	0	data/isoquant/GSE255520/Ms_WT_P40/Ms_WT_P40/Ms_WT_P40.transcript_counts.tsv	data/isoquant/GSE255520/Ms_WT_P40/Ms_WT_P40/Ms_WT_P40.discovered_transcript_counts.tsv	data/isoquant/GSE255520/Ms_WT_P40/Ms_WT_P40/Ms_WT_P40.gene_counts.tsv
SRR30166096	GSE274249	human	ONT	8736	61055	226005	61055	0	True	61055	0	0	14389615.0	0	67999	67846	38842	29004	0	15208702.0	0	38606	23658	29156762.0	0	data/isoquant/GSE274249/SRR30166096/SRR30166096/SRR30166096.transcript_counts.tsv	data/isoquant/GSE274249/SRR30166096/SRR30166096/SRR30166096.discovered_transcript_counts.tsv	data/isoquant/GSE274249/SRR30166096/SRR30166096/SRR30166096.gene_counts.tsv
SRR30166097	GSE274249	human	ONT	8776	33683	226005	33683	0	True	33683	0	0	2245017.0	0	33433	33239	24033	9206	0	2411791.0	0	38606	19119	4654292.0	0	data/isoquant/GSE274249/SRR30166097/SRR30166097/SRR30166097.transcript_counts.tsv	data/isoquant/GSE274249/SRR30166097/SRR30166097/SRR30166097.discovered_transcript_counts.tsv	data/isoquant/GSE274249/SRR30166097/SRR30166097/SRR30166097.gene_counts.tsv
SRR30166098	GSE274249	human	ONT	8730	67069	226005	67069	0	True	67069	0	0	19852923.0	0	69732	69563	42138	27425	0	20676241.0	0	38606	26381	40857132.0	0	data/isoquant/GSE274249/SRR30166098/SRR30166098/SRR30166098.transcript_counts.tsv	data/isoquant/GSE274249/SRR30166098/SRR30166098/SRR30166098.discovered_transcript_counts.tsv	data/isoquant/GSE274249/SRR30166098/SRR30166098/SRR30166098.gene_counts.tsv
