run	study	transcript_id	count	is_reference	hc_reference_model	pas_supported	pas_id	terminal_0based	tags	tsl	model_support_class
SRR30639544	GSE276974	ENST00000413409	77.0	True	True	False		198695170	basic	1	reference_hc
SRR30639544	GSE276974	ENST00000697630	1181.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639544	GSE276974	ENST00000418674	33.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639544	GSE276974	ENST00000427110	2.0	True	True	False		198703345		1	reference_hc
SRR30639544	GSE276974	ENST00000484135	1014.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639545	GSE276974	ENST00000367379	396.0	True	False	False		198708156	alternative_5_UTR	5	reference_other
SRR30639545	GSE276974	ENST00000442510	850.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639545	GSE276974	ENST00000530727	472.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639545	GSE276974	ENST00000462363	186.0	True	True	False		198703873		1	reference_hc
SRR30639545	GSE276974	ENST00000367367	458.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639545	GSE276974	ENST00000367364	3568.0	True	True	False		198693205	basic	1	reference_hc
SRR30639545	GSE276974	ENST00000529828	140.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639545	GSE276974	ENST00000413409	184.0	True	True	False		198695170	basic	1	reference_hc
SRR30639545	GSE276974	ENST00000697630	3078.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639545	GSE276974	ENST00000418674	50.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639545	GSE276974	ENST00000484135	2812.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639545	GSE276974	ENST00000697634	80.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR30639546	GSE276974	ENST00000442510	374.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639546	GSE276974	ENST00000530727	292.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639546	GSE276974	ENST00000462363	84.0	True	True	False		198703873		1	reference_hc
SRR30639546	GSE276974	ENST00000367367	346.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639546	GSE276974	ENST00000367364	2081.0	True	True	False		198693205	basic	1	reference_hc
SRR30639546	GSE276974	ENST00000529828	79.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639546	GSE276974	ENST00000697630	2064.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639546	GSE276974	ENST00000413409	76.0	True	True	False		198695170	basic	1	reference_hc
SRR30639546	GSE276974	ENST00000418674	9.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639546	GSE276974	ENST00000697634	39.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR30639548	GSE276974	ENST00000367364	1851.0	True	True	False		198693205	basic	1	reference_hc
SRR30639548	GSE276974	ENST00000367379	118.0	True	False	False		198708156	alternative_5_UTR	5	reference_other
SRR30639548	GSE276974	ENST00000367367	343.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639548	GSE276974	ENST00000348564	225.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR30639548	GSE276974	ENST00000530727	239.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639548	GSE276974	ENST00000442510	351.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639548	GSE276974	ENST00000462363	77.0	True	True	False		198703873		1	reference_hc
SRR30639548	GSE276974	ENST00000413409	71.0	True	True	False		198695170	basic	1	reference_hc
SRR30639548	GSE276974	ENST00000529828	140.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639548	GSE276974	ENST00000697630	2025.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639548	GSE276974	ENST00000418674	21.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639548	GSE276974	ENST00000427110	3.0	True	True	False		198703345		1	reference_hc
SRR30639548	GSE276974	ENST00000484135	798.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639549	GSE276974	ENST00000530727	84.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639549	GSE276974	ENST00000442510	230.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639549	GSE276974	ENST00000367367	72.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639549	GSE276974	ENST00000367364	1190.0	True	True	False		198693205	basic	1	reference_hc
SRR30639549	GSE276974	ENST00000529828	18.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639549	GSE276974	ENST00000413409	23.0	True	True	False		198695170	basic	1	reference_hc
SRR30639549	GSE276974	ENST00000697630	1723.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639549	GSE276974	ENST00000484135	828.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639549	GSE276974	ENST00000646230	3.0	True	False	False		198754456			reference_other
SRR30639551	GSE276974	ENST00000367379	92.0	True	False	False		198708156	alternative_5_UTR	5	reference_other
SRR30639551	GSE276974	ENST00000367364	850.0	True	True	False		198693205	basic	1	reference_hc
SRR30639551	GSE276974	ENST00000442510	170.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639551	GSE276974	ENST00000530727	46.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639551	GSE276974	ENST00000413409	35.0	True	True	False		198695170	basic	1	reference_hc
SRR30639551	GSE276974	ENST00000529828	9.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639551	GSE276974	ENST00000367367	56.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639551	GSE276974	ENST00000418674	6.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639551	GSE276974	ENST00000484135	517.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639552	GSE276974	ENST00000348564	164.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR30639552	GSE276974	ENST00000367364	1529.0	True	True	False		198693205	basic	1	reference_hc
SRR30639552	GSE276974	ENST00000530727	100.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639552	GSE276974	ENST00000442510	332.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639552	GSE276974	ENST00000367367	108.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639552	GSE276974	ENST00000462363	52.0	True	True	False		198703873		1	reference_hc
SRR30639552	GSE276974	ENST00000413409	44.0	True	True	False		198695170	basic	1	reference_hc
SRR30639552	GSE276974	ENST00000529828	31.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639552	GSE276974	ENST00000418674	53.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639552	GSE276974	ENST00000484135	1074.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639552	GSE276974	ENST00000697634	40.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR30639553	GSE276974	ENST00000367379	70.0	True	False	False		198708156	alternative_5_UTR	5	reference_other
SRR30639553	GSE276974	ENST00000367364	760.0	True	True	False		198693205	basic	1	reference_hc
SRR30639553	GSE276974	ENST00000442510	178.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639553	GSE276974	ENST00000530727	80.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639553	GSE276974	ENST00000697630	1204.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639553	GSE276974	ENST00000367367	80.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639553	GSE276974	ENST00000462363	37.0	True	True	False		198703873		1	reference_hc
SRR30639553	GSE276974	ENST00000529828	24.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639553	GSE276974	ENST00000413409	19.0	True	True	False		198695170	basic	1	reference_hc
SRR30639553	GSE276974	ENST00000418674	14.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639553	GSE276974	ENST00000484135	693.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639554	GSE276974	ENST00000367364	1492.0	True	True	False		198693205	basic	1	reference_hc
SRR30639554	GSE276974	ENST00000442510	391.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639554	GSE276974	ENST00000530727	193.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639554	GSE276974	ENST00000367367	290.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639554	GSE276974	ENST00000529828	84.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639554	GSE276974	ENST00000413409	79.0	True	True	False		198695170	basic	1	reference_hc
SRR30639554	GSE276974	ENST00000462363	33.0	True	True	False		198703873		1	reference_hc
SRR30639554	GSE276974	ENST00000418674	17.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639554	GSE276974	ENST00000484135	907.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639555	GSE276974	ENST00000697630	2566.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR30639555	GSE276974	ENST00000530727	155.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639555	GSE276974	ENST00000442510	386.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639555	GSE276974	ENST00000367367	352.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639555	GSE276974	ENST00000367364	1403.0	True	True	False		198693205	basic	1	reference_hc
SRR30639555	GSE276974	ENST00000413409	85.0	True	True	False		198695170	basic	1	reference_hc
SRR30639555	GSE276974	ENST00000529828	89.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639555	GSE276974	ENST00000462363	63.0	True	True	False		198703873		1	reference_hc
SRR30639555	GSE276974	ENST00000418674	24.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639555	GSE276974	ENST00000484135	969.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639555	GSE276974	ENST00000697634	36.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR30639556	GSE276974	ENST00000348564	172.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR30639556	GSE276974	ENST00000442510	436.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639556	GSE276974	ENST00000530727	220.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639556	GSE276974	ENST00000367367	381.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639556	GSE276974	ENST00000367364	1566.0	True	True	False		198693205	basic	1	reference_hc
SRR30639556	GSE276974	ENST00000413409	109.0	True	True	False		198695170	basic	1	reference_hc
SRR30639556	GSE276974	ENST00000529828	128.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639556	GSE276974	ENST00000418674	26.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639556	GSE276974	ENST00000484135	1049.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639557	GSE276974	ENST00000348564	129.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR30639557	GSE276974	ENST00000530727	271.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639557	GSE276974	ENST00000442510	397.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639557	GSE276974	ENST00000367367	424.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639557	GSE276974	ENST00000367364	1600.0	True	True	False		198693205	basic	1	reference_hc
SRR30639557	GSE276974	ENST00000697632	21.0	True	False	True	1:198757157:+	198757180	RNA_Seq_supported_only		reference_other
SRR30639557	GSE276974	ENST00000413409	65.0	True	True	False		198695170	basic	1	reference_hc
SRR30639557	GSE276974	ENST00000529828	64.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639557	GSE276974	ENST00000462363	55.0	True	True	False		198703873		1	reference_hc
SRR30639557	GSE276974	ENST00000418674	30.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639557	GSE276974	ENST00000484135	1027.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639557	GSE276974	ENST00000697634	59.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR30639557	GSE276974	ENST00000646230	6.0	True	False	False		198754456			reference_other
SRR30639558	GSE276974	ENST00000367367	345.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR30639558	GSE276974	ENST00000530727	196.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR30639558	GSE276974	ENST00000442510	417.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR30639558	GSE276974	ENST00000348564	159.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR30639558	GSE276974	ENST00000367364	1377.0	True	True	False		198693205	basic	1	reference_hc
SRR30639558	GSE276974	ENST00000413409	56.0	True	True	False		198695170	basic	1	reference_hc
SRR30639558	GSE276974	ENST00000529828	112.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR30639558	GSE276974	ENST00000462363	58.0	True	True	False		198703873		1	reference_hc
SRR30639558	GSE276974	ENST00000418674	21.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR30639558	GSE276974	ENST00000484135	850.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR30639558	GSE276974	ENST00000697634	76.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR35267327	GSE307660	ENST00000348564	74.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267327	GSE307660	ENST00000697630	743.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR35267327	GSE307660	ENST00000530727	249.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267327	GSE307660	ENST00000442510	240.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267327	GSE307660	ENST00000462363	42.0	True	True	False		198703873		1	reference_hc
SRR35267327	GSE307660	ENST00000367367	138.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267327	GSE307660	ENST00000367364	2575.0	True	True	False		198693205	basic	1	reference_hc
SRR35267327	GSE307660	ENST00000529828	68.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267327	GSE307660	ENST00000413409	30.0	True	True	False		198695170	basic	1	reference_hc
SRR35267327	GSE307660	ENST00000484135	298.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR35267328	GSE307660	ENST00000348564	26.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267328	GSE307660	ENST00000530727	20.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267328	GSE307660	ENST00000367364	276.0	True	True	False		198693205	basic	1	reference_hc
SRR35267328	GSE307660	ENST00000442510	13.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267328	GSE307660	ENST00000529828	4.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267328	GSE307660	ENST00000413409	8.0	True	True	False		198695170	basic	1	reference_hc
SRR35267329	GSE307660	ENST00000367379	321.0	True	False	False		198708156	alternative_5_UTR	5	reference_other
SRR35267329	GSE307660	ENST00000367364	7442.0	True	True	False		198693205	basic	1	reference_hc
SRR35267329	GSE307660	ENST00000643513	65.0	True	False	False		198706874	mRNA_end_NF		reference_other
SRR35267329	GSE307660	ENST00000348564	427.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267329	GSE307660	ENST00000530727	1121.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267329	GSE307660	ENST00000442510	267.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267329	GSE307660	ENST00000462363	151.0	True	True	False		198703873		1	reference_hc
SRR35267329	GSE307660	ENST00000367367	570.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267329	GSE307660	ENST00000413409	74.0	True	True	False		198695170	basic	1	reference_hc
SRR35267329	GSE307660	ENST00000529828	202.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267329	GSE307660	ENST00000697630	1174.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR35267329	GSE307660	ENST00000645247	5.0	True	False	False		198704484	mRNA_end_NF		reference_other
SRR35267329	GSE307660	ENST00000391970	51.0	True	True	False		198703345		1	reference_hc
SRR35267329	GSE307660	ENST00000418674	33.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR35267329	GSE307660	ENST00000427110	2.0	True	True	False		198703345		1	reference_hc
SRR35267329	GSE307660	ENST00000697634	27.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR35267330	GSE307660	ENST00000442510	65.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267330	GSE307660	ENST00000530727	186.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267330	GSE307660	ENST00000367367	56.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267330	GSE307660	ENST00000367364	2419.0	True	True	False		198693205	basic	1	reference_hc
SRR35267330	GSE307660	ENST00000529828	77.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267330	GSE307660	ENST00000413409	23.0	True	True	False		198695170	basic	1	reference_hc
SRR35267330	GSE307660	ENST00000462363	36.0	True	True	False		198703873		1	reference_hc
SRR35267330	GSE307660	ENST00000697630	437.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR35267331	GSE307660	ENST00000367364	3256.0	True	True	False		198693205	basic	1	reference_hc
SRR35267331	GSE307660	ENST00000697630	557.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR35267331	GSE307660	ENST00000442510	365.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267331	GSE307660	ENST00000348564	188.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267331	GSE307660	ENST00000530727	328.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267331	GSE307660	ENST00000462363	31.0	True	True	False		198703873		1	reference_hc
SRR35267331	GSE307660	ENST00000367367	210.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267331	GSE307660	ENST00000529828	576.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267331	GSE307660	ENST00000413409	48.0	True	True	False		198695170	basic	1	reference_hc
SRR35267331	GSE307660	ENST00000418674	12.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR35267331	GSE307660	ENST00000484135	221.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR35267332	GSE307660	ENST00000530727	68.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267332	GSE307660	ENST00000442510	30.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267332	GSE307660	ENST00000367364	447.0	True	True	False		198693205	basic	1	reference_hc
SRR35267332	GSE307660	ENST00000529828	57.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267332	GSE307660	ENST00000462363	7.0	True	True	False		198703873		1	reference_hc
SRR35267332	GSE307660	ENST00000367367	7.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267332	GSE307660	ENST00000413409	6.0	True	True	False		198695170	basic	1	reference_hc
SRR35267332	GSE307660	ENST00000418674	1.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR35267333	GSE307660	ENST00000442510	684.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267333	GSE307660	ENST00000643513	106.0	True	False	False		198706874	mRNA_end_NF		reference_other
SRR35267333	GSE307660	ENST00000530727	1218.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267333	GSE307660	ENST00000348564	414.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267333	GSE307660	ENST00000462363	374.0	True	True	False		198703873		1	reference_hc
SRR35267333	GSE307660	ENST00000367367	622.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267333	GSE307660	ENST00000367364	9760.0	True	True	False		198693205	basic	1	reference_hc
SRR35267333	GSE307660	ENST00000529828	254.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267333	GSE307660	ENST00000413409	156.0	True	True	False		198695170	basic	1	reference_hc
SRR35267333	GSE307660	ENST00000697630	2516.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR35267333	GSE307660	ENST00000418674	38.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR35267333	GSE307660	ENST00000484135	1418.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR35267334	GSE307660	ENST00000530727	171.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267334	GSE307660	ENST00000442510	109.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267334	GSE307660	ENST00000697630	224.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR35267334	GSE307660	ENST00000367364	650.0	True	True	False		198693205	basic	1	reference_hc
SRR35267334	GSE307660	ENST00000367367	20.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267334	GSE307660	ENST00000413409	18.0	True	True	False		198695170	basic	1	reference_hc
SRR35267334	GSE307660	ENST00000462363	38.0	True	True	False		198703873		1	reference_hc
SRR35267334	GSE307660	ENST00000427110	5.0	True	True	False		198703345		1	reference_hc
SRR35267334	GSE307660	ENST00000418674	13.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR35267334	GSE307660	ENST00000697634	6.0	True	False	False		198753303	RNA_Seq_supported_only		reference_other
SRR35267335	GSE307660	ENST00000348564	20.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267335	GSE307660	ENST00000367364	96.0	True	True	False		198693205	basic	1	reference_hc
SRR35267335	GSE307660	ENST00000530727	42.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267335	GSE307660	ENST00000442510	52.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267335	GSE307660	ENST00000413409	24.0	True	True	False		198695170	basic	1	reference_hc
SRR35267335	GSE307660	ENST00000367367	16.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267336	GSE307660	ENST00000530727	12.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267336	GSE307660	ENST00000367364	96.0	True	True	False		198693205	basic	1	reference_hc
SRR35267336	GSE307660	ENST00000367367	23.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267336	GSE307660	ENST00000529828	4.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267336	GSE307660	ENST00000413409	9.0	True	True	False		198695170	basic	1	reference_hc
SRR35267336	GSE307660	ENST00000484135	89.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR35267337	GSE307660	ENST00000348564	9.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267337	GSE307660	ENST00000530727	25.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267337	GSE307660	ENST00000367364	178.0	True	True	False		198693205	basic	1	reference_hc
SRR35267337	GSE307660	ENST00000413409	10.0	True	True	False		198695170	basic	1	reference_hc
SRR35267337	GSE307660	ENST00000367367	27.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267337	GSE307660	ENST00000442510	28.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267338	GSE307660	ENST00000697630	1166.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
SRR35267338	GSE307660	ENST00000367364	6260.0	True	True	False		198693205	basic	1	reference_hc
SRR35267338	GSE307660	ENST00000442510	415.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267338	GSE307660	ENST00000530727	216.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267338	GSE307660	ENST00000367367	109.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267338	GSE307660	ENST00000529828	202.0	True	True	True	1:198735248:+	198735251		1	reference_hc
SRR35267338	GSE307660	ENST00000462363	96.0	True	True	False		198703873		1	reference_hc
SRR35267338	GSE307660	ENST00000413409	57.0	True	True	False		198695170	basic	1	reference_hc
SRR35267338	GSE307660	ENST00000418674	29.0	True	True	False		198699619	alternative_5_UTR	2	reference_hc
SRR35267338	GSE307660	ENST00000484135	443.0	True	False	True	1:198700135:+	198700145	mRNA_end_NF	5	reference_other
SRR35267339	GSE307660	ENST00000442510	18.0	True	True	True	1:198757474:+	198757475	basic	1	reference_hc
SRR35267339	GSE307660	ENST00000348564	9.0	True	True	True	1:198757264:+	198757282	basic	1	reference_hc
SRR35267339	GSE307660	ENST00000530727	13.0	True	False	False		198732555	mRNA_end_NF	1	reference_other
SRR35267339	GSE307660	ENST00000367364	343.0	True	True	False		198693205	basic	1	reference_hc
SRR35267339	GSE307660	ENST00000462363	9.0	True	True	False		198703873		1	reference_hc
SRR35267339	GSE307660	ENST00000367367	7.0	True	False	True	1:198735248:+	198735251	mRNA_end_NF	2	reference_other
SRR35267340	GSE307660	ENST00000697630	630.0	True	False	False		198743044	RNA_Seq_supported_only		reference_other
