junction	span	molecules	reads	runs	studies
chr6:-:41934992-41935862	870 bp	30	46	18	10
chr6:-:41936104-41936552	448 bp	30	42	18	7
chr6:-:41937393-41940370	2,977 bp	30	30	8	1
chr6:-:41940585-42030009	89,424 bp	29	63	13	3
chr6:-:41936108-41936559	451 bp	26	26	8	1
chr6:-:41961939-42048501	86,562 bp	26	46	7	2
chr6:-:41941161-41941452	291 bp	25	42	17	5
chr6:-:41937394-41939436	2,042 bp	24	36	13	3
chr6:-:42011143-42012591	1,448 bp	24	41	5	1
chr6:-:41940585-41961793	21,208 bp	22	36	12	6
chr6:-:41968578-42048501	79,923 bp	22	50	11	4
chr6:-:42030098-42048501	18,403 bp	22	58	11	4
chr6:+:41937393-41940369	2,976 bp	21	35	14	5
chr6:-:42029255-42029593	338 bp	21	33	12	5
chr6:-:41935105-41935707	602 bp	20	33	14	7
chr6:-:41940585-41940925	340 bp	20	33	12	5
chr6:-:42011219-42011362	143 bp	20	28	6	1
chr6:-:41934992-41936023	1,031 bp	19	40	10	5
chr6:-:42011055-42030009	18,954 bp	19	55	8	4
chr6:-:41916939-41937235	20,296 bp	17	46	7	3
chr6:-:41936876-41937235	359 bp	17	18	9	3
chr6:-:41937394-41939676	2,282 bp	17	28	13	4
chr6:-:41976344-42048501	72,157 bp	17	32	5	2
chr6:-:42011151-42012597	1,446 bp	17	37	11	5
chr6:-:42011227-42012329	1,102 bp	17	37	13	3
chr6:-:41916939-42048501	131,562 bp	16	28	11	2
chr6:-:41934992-41935983	991 bp	16	29	12	4
chr6:-:41937395-41940370	2,975 bp	16	16	6	1
chr6:-:42011227-42011370	143 bp	16	32	10	3
chr6:-:41934989-41935860	871 bp	15	19	4	1
chr6:+:42029255-42029735	480 bp	15	18	4	1
chr6:-:42029256-42029728	472 bp	15	43	9	3
chr6:-:41935261-41935526	265 bp	14	19	6	3
chr6:-:41934992-41937235	2,243 bp	13	20	6	2
chr6:-:41934992-41940427	5,435 bp	13	18	9	5
chr6:-:41935329-41935425	96 bp	13	21	9	3
chr6:-:41937784-41940370	2,586 bp	13	23	11	4
chr6:-:41940583-41940950	367 bp	13	15	6	2
chr6:-:42011237-42011380	143 bp	13	27	8	3
chr6:-:41934070-41934970	900 bp	12	12	7	2
chr6:-:41935404-41935994	590 bp	12	20	6	1
chr6:-:41935762-41935954	192 bp	12	17	9	4
chr6:-:41935997-42048501	112,504 bp	12	13	7	2
chr6:-:41937391-42048496	111,105 bp	12	16	9	5
chr6:-:41998284-42048501	50,217 bp	12	20	8	4
chr6:+:42011909-42013749	1,840 bp	12	30	6	2
chr6:-:42029248-42029728	480 bp	12	26	6	4
chr6:-:41935045-41935818	773 bp	11	25	11	7
chr6:-:41935150-41937269	2,119 bp	11	23	5	3
chr6:-:41935171-41937317	2,146 bp	11	18	8	4
chr6:-:41940580-42048496	107,916 bp	11	12	8	3
