srr	gse	size_gb	platform	verified	kit	species	pipeline	status	cells	host	updated_at	dl_key	in_scthread_current	ena_platform	ena_assay	isoquant_status	isoquant_cells	isoquant_transcripts	isoquant_path	isoquant_route	isoquant_barcodes_raw	isoquant_cells_method	species_metadata_source	gsm	gsm_mapping_source	gse_metadata_check	ena_experiment_accession	biosample_accession	ena_sample_accession	ena_study_accession	ena_secondary_study_accession	ena_scientific_name	ena_tax_id	ena_sample_title	ena_experiment_title	ena_instrument_model	ena_library_name	ena_library_strategy	ena_library_source	ena_library_selection	ena_library_layout	geo_title	geo_source_name	geo_organism	geo_characteristics	geo_molecule	geo_description	metadata_status	metadata_conflicts	anchor_status	annotation_status	annotation_method	annotation_cells	annotation_scope	annotation_source	annotation_reproduce	annotation_ref
SRR8186090	GSE120839	0.07	PacBio	True	10x:chemistry_unknown	Influenza_A_virus_A_WSN_1933_H1N1	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM3416965	GEO_SRX_RELATION	MATCH	SRX5005927	SAMN10176809	SRS4040135	PRJNA494691	SRP168564	Influenza A virus (A/WSN/1933(H1N1))	382835	Influenza A virus (A/WSN/1933(H1N1))	Sequel sequencing: GSM3416965: Influenza A virus (A/WSN/1933(H1N1)) Influenza A virus (A/WSN/1933(H1N1)) OTHER	Sequel		OTHER	TRANSCRIPTOMIC	other	SINGLE	Influenza A virus (A/WSN/1933(H1N1))	Influenza virus infection	Influenza A virus (A/WSN/1933(H1N1))	time: 13 hours post-infection	total RNA	PacBio circular consensus sequencing for viral genotypes.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM3416965 PacBio annotated cells.tsv.gz (sample identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE120839/	release_v1/active_cell_annotation.parquet
SRR8186091	GSE120839	0.11	PacBio	True	10x:chemistry_unknown	Influenza_A_virus_A_WSN_1933_H1N1	unclassified	downloaded					no	PACBIO_SMRT	scPacBio								ENA	GSM3416965	GEO_SRX_RELATION	MATCH	SRX5005927	SAMN10176809	SRS4040135	PRJNA494691	SRP168564	Influenza A virus (A/WSN/1933(H1N1))	382835	Influenza A virus (A/WSN/1933(H1N1))	Sequel sequencing: GSM3416965: Influenza A virus (A/WSN/1933(H1N1)) Influenza A virus (A/WSN/1933(H1N1)) OTHER	Sequel		OTHER	TRANSCRIPTOMIC	other	SINGLE	Influenza A virus (A/WSN/1933(H1N1))	Influenza virus infection	Influenza A virus (A/WSN/1933(H1N1))	time: 13 hours post-infection	total RNA	PacBio circular consensus sequencing for viral genotypes.	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			sample_identity_only	author_gsm_identity		study_identity_only	AUTHOR_GEO_SUPP: GSM3416965 PacBio annotated cells.tsv.gz (sample identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE120839/	release_v1/active_cell_annotation.parquet
SRR9008425	GSE130708	10.19	ONT	True	3prime:v2	mouse	EXCLUDE	excluded					no	OXFORD_NANOPORE	scONT	done	177	17848	data/isoquant/GSE130708/SRR9008425	10x-ONT	177	wf_tagged_barcodes	ENA	GSM3748087	GEO_SRX_RELATION	MATCH	SRX5786626	SAMN11570565	SRS4718917	PRJNA541014	SRP194984	Mus musculus	10090	E18brain (190 cells) [Nanopore]	PromethION sequencing: GSM3748087: E18brain (190 cells) [Nanopore] Mus musculus RNA-Seq	PromethION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	E18brain (190 cells) [Nanopore]	E18 brain	Mus musculus	tissue: Cortex, hippocampus and sub ventricular zone || strain: C57BL/6 || developmental stage: E18	total RNA	Cells from a combined cortex, hippocampus and sub ventricular zone of an E18 mouse. || PolyA RNA	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: lebrigand.2020.identity.csv (Lebrigand 2020 author identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE130708/	release_v1/active_cell_annotation.parquet
SRR9008427	GSE130708	8.98	ONT	True	3prime:v2	mouse	EXCLUDE	excluded					no	OXFORD_NANOPORE	scONT	done	827	16782	data/isoquant/GSE130708/SRR9008427	10x-ONT	827	wf_tagged_barcodes	ENA	GSM3748089	GEO_SRX_RELATION	MATCH	SRX5786628	SAMN11570563	SRS4718919	PRJNA541014	SRP194984	Mus musculus	10090	E18brain (951 cells) [Nanopore]	PromethION sequencing: GSM3748089: E18brain (951 cells) [Nanopore] Mus musculus RNA-Seq	PromethION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	E18brain (951 cells) [Nanopore]	E18 brain	Mus musculus	tissue: Cortex, hippocampus and sub ventricular zone || strain: C57BL/6 || developmental stage: E18	total RNA	Cells from a combined cortex, hippocampus and sub ventricular zone of an E18 mouse. || PolyA RNA	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: lebrigand.2020.identity.csv (Lebrigand 2020 author identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE130708/	release_v1/active_cell_annotation.parquet
SRR9008428	GSE130708	8.68	ONT	True	3prime:v2	mouse	wf-single-cell	done	888	Tower1	2026-07-08 23:00:49		yes	OXFORD_NANOPORE	scONT	done	896	20869	data/isoquant/GSE130708/SRR9008428	10x-ONT	896	wf_tagged_barcodes	ENA	GSM3748089	GEO_SRX_RELATION	MATCH	SRX5786628	SAMN11570563	SRS4718919	PRJNA541014	SRP194984	Mus musculus	10090	E18brain (951 cells) [Nanopore]	PromethION sequencing: GSM3748089: E18brain (951 cells) [Nanopore] Mus musculus RNA-Seq	PromethION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	E18brain (951 cells) [Nanopore]	E18 brain	Mus musculus	tissue: Cortex, hippocampus and sub ventricular zone || strain: C57BL/6 || developmental stage: E18	total RNA	Cells from a combined cortex, hippocampus and sub ventricular zone of an E18 mouse. || PolyA RNA	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA		done	annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: lebrigand.2020.identity.csv (Lebrigand 2020 author identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE130708/	release_v1/active_cell_annotation.parquet
SRR9008429	GSE130708	10.35	ONT	True	3prime:v2	mouse	wf-single-cell	done	914	Tower1	2026-07-09 09:16:45		yes	OXFORD_NANOPORE	scONT	done	922	22375	data/isoquant/GSE130708/SRR9008429	10x-ONT	922	wf_tagged_barcodes	ENA	GSM3748089	GEO_SRX_RELATION	MATCH	SRX5786628	SAMN11570563	SRS4718919	PRJNA541014	SRP194984	Mus musculus	10090	E18brain (951 cells) [Nanopore]	PromethION sequencing: GSM3748089: E18brain (951 cells) [Nanopore] Mus musculus RNA-Seq	PromethION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	E18brain (951 cells) [Nanopore]	E18 brain	Mus musculus	tissue: Cortex, hippocampus and sub ventricular zone || strain: C57BL/6 || developmental stage: E18	total RNA	Cells from a combined cortex, hippocampus and sub ventricular zone of an E18 mouse. || PolyA RNA	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA		done	annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: lebrigand.2020.identity.csv (Lebrigand 2020 author identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE130708/	release_v1/active_cell_annotation.parquet
SRR9008431	GSE130708	8.76	ONT	True	3prime:v2	mouse	EXCLUDE	downloaded					no	OXFORD_NANOPORE	scONT	done	917	20940	data/isoquant/GSE130708/SRR9008431	10x-ONT	917	wf_tagged_barcodes	ENA	GSM3748089	GEO_SRX_RELATION	MATCH	SRX5786628	SAMN11570563	SRS4718919	PRJNA541014	SRP194984	Mus musculus	10090	E18brain (951 cells) [Nanopore]	PromethION sequencing: GSM3748089: E18brain (951 cells) [Nanopore] Mus musculus RNA-Seq	PromethION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	E18brain (951 cells) [Nanopore]	E18 brain	Mus musculus	tissue: Cortex, hippocampus and sub ventricular zone || strain: C57BL/6 || developmental stage: E18	total RNA	Cells from a combined cortex, hippocampus and sub ventricular zone of an E18 mouse. || PolyA RNA	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: lebrigand.2020.identity.csv (Lebrigand 2020 author identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE130708/	release_v1/active_cell_annotation.parquet
SRR9008433	GSE130708	10.20	ONT	True	3prime:v2	mouse	wf-single-cell	done	905	Tower1	2026-07-09 11:44:46		yes	OXFORD_NANOPORE	scONT	done	905	19001	data/isoquant/GSE130708/SRR9008433	10x-ONT	905	wf_tagged_barcodes	ENA	GSM3748089	GEO_SRX_RELATION	MATCH	SRX5786628	SAMN11570563	SRS4718919	PRJNA541014	SRP194984	Mus musculus	10090	E18brain (951 cells) [Nanopore]	PromethION sequencing: GSM3748089: E18brain (951 cells) [Nanopore] Mus musculus RNA-Seq	PromethION		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	E18brain (951 cells) [Nanopore]	E18 brain	Mus musculus	tissue: Cortex, hippocampus and sub ventricular zone || strain: C57BL/6 || developmental stage: E18	total RNA	Cells from a combined cortex, hippocampus and sub ventricular zone of an E18 mouse. || PolyA RNA	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA		done	annotated	author_cell_type		study_only	AUTHOR_GEO_SUPP: lebrigand.2020.identity.csv (Lebrigand 2020 author identity)	scripts/annotation_recovery/ (author extractor) -> author_annotations/GSE130708/	release_v1/active_cell_annotation.parquet
SRR9689376	GSE134311	0.05	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942088	GEO_SRX_RELATION	MATCH	SRX6448765	SAMN12280000	SRS5102392	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_DRG_1	Sequel sequencing: GSM3942088: Iso_seq_single_DRG_1 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_DRG_1	Dorsal root ganglion neuron	Mus musculus	strain: C57BL/6 || tissue: Dorsal root ganglion neuron	polyA RNA	applying single cell method to DRG neuron	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR9689377	GSE134311	0.06	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942089	GEO_SRX_RELATION	MATCH	SRX6448766	SAMN12279999	SRS5102393	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_DRG_2	Sequel sequencing: GSM3942089: Iso_seq_single_DRG_2 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_DRG_2	Dorsal root ganglion neuron	Mus musculus	strain: C57BL/6 || tissue: Dorsal root ganglion neuron	polyA RNA	applying single cell method to DRG neuron	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR9689378	GSE134311	0.05	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942089	GEO_SRX_RELATION	MATCH	SRX6448766	SAMN12279999	SRS5102393	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_DRG_2	Sequel sequencing: GSM3942089: Iso_seq_single_DRG_2 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_DRG_2	Dorsal root ganglion neuron	Mus musculus	strain: C57BL/6 || tissue: Dorsal root ganglion neuron	polyA RNA	applying single cell method to DRG neuron	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR9689379	GSE134311	0.14	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942090	GEO_SRX_RELATION	MATCH	SRX6448767	SAMN12279998	SRS5102394	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_oocyte_1	Sequel sequencing: GSM3942090: Iso_seq_single_oocyte_1 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_oocyte_1	oocyte	Mus musculus	strain: C57BL/6 || tissue: oocyte	polyA RNA	applying single cell method to oocyte	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR9689380	GSE134311	0.13	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942090	GEO_SRX_RELATION	MATCH	SRX6448767	SAMN12279998	SRS5102394	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_oocyte_1	Sequel sequencing: GSM3942090: Iso_seq_single_oocyte_1 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_oocyte_1	oocyte	Mus musculus	strain: C57BL/6 || tissue: oocyte	polyA RNA	applying single cell method to oocyte	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR9689381	GSE134311	0.04	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942091	GEO_SRX_RELATION	MATCH	SRX6448768	SAMN12280038	SRS5102395	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_oocyte_2	Sequel sequencing: GSM3942091: Iso_seq_single_oocyte_2 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_oocyte_2	oocyte	Mus musculus	strain: C57BL/6 || tissue: oocyte	polyA RNA	applying single cell method to oocyte	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR9689382	GSE134311	0.03	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942091	GEO_SRX_RELATION	MATCH	SRX6448768	SAMN12280038	SRS5102395	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_oocyte_2	Sequel sequencing: GSM3942091: Iso_seq_single_oocyte_2 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_oocyte_2	oocyte	Mus musculus	strain: C57BL/6 || tissue: oocyte	polyA RNA	applying single cell method to oocyte	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
SRR9689383	GSE134311	0.15	PacBio	True	Smart-seq2	mouse	unclassified	downloaded					no	PACBIO_SMRT	bulk-longread								ENA	GSM3942092	GEO_SRX_RELATION	MATCH	SRX6448769	SAMN12280037	SRS5102396	PRJNA554684	SRP214718	Mus musculus	10090	Iso_seq_single_oocyte_3	Sequel sequencing: GSM3942092: Iso_seq_single_oocyte_3 Mus musculus RNA-Seq	Sequel		RNA-Seq	TRANSCRIPTOMIC	cDNA	SINGLE	Iso_seq_single_oocyte_3	oocyte	Mus musculus	strain: C57BL/6 || tissue: oocyte	polyA RNA	applying single cell method to oocyte	ENA_FOUND;GSM_EXACT;GEO_FOUND;GSE_MATCH;SPECIES_ENA			not_annotated	none		none			
